Gene,GSM461348,GSM461349,GSM461350,GSM1634925,GSM1634926,GSM1634927,GSM1634928,GSM1634937,GSM1634938,GSM1634939,GSM1701025,GSM1701026,GSM1701027,GSM1701038,GSM1701039,GSM1701040
CYP19A1,6.05048,4.94686,8.93132,4.400214,7.758285,6.717381,5.436812,7.986126,7.735976,7.619101,1.72481,1.74214,1.75784,3.30241,1.69149,1.74214
C6orf141,8.44664,0.0294287,0.551099,5.682055,10.73888,9.358123,5.942407,9.395455,9.490241,9.116899,2.10296,2.30963,2.21065,4.3071,2.5541,3.70827
RPS6KA5,4.41592,5.60499,11.8184,5.643264,5.17419,3.543949,6.011561,2.809374,4.086861,2.427831,1.70928,1.91264,1.84148,2.61524,1.70928,1.8558
DYNC2LI1,11.6087,8.77636,6.59641,6.527796,10.55126,7.440837,6.061291,8.95833,8.968288,9.882573,1.77935,1.93196,2.20604,2.33572,2.62428,1.87911
COG3,10.0505,16.349,10.866,5.904034,9.257635,8.928718,5.686514,8.701856,9.539174,9.804649,2.07485,2.18626,2.35233,2.22173,1.96972,2.29611
SIAE,13.0516,23.6024,44.4866,6.131545,9.072293,10.69764,6.988854,9.8038,9.717628,9.291704,2.60428,2.04632,2.10756,4.49646,1.65069,2.18515
BTG4,6.16035,12.7895,5.87463,4.302901,7.493805,7.429207,5.458388,7.607339,7.121003,7.762761,1.98098,2.08885,1.67845,3.05912,1.72732,1.922
MIER3,7.75842,7.97842,12.5895,6.527061,9.711031,9.389786,7.781519,8.408657,9.030875,9.492893,1.54772,1.90451,1.81831,1.81831,1.57043,1.72536
ST8SIA4,13.5758,15.0058,8.59791,8.124453,9.846941,9.331139,8.999351,9.152117,8.50684,10.0721,1.91961,1.95908,1.88747,1.88747,1.63424,1.84873
NAALAD2,4.09609,0.975062,3.07445,7.740109,7.018201,6.279748,7.060919,6.80929,8.511789,8.550648,1.52087,1.38838,1.64755,2.81879,1.66628,1.61551
CNNM2,10.1134,16.2922,6.35287,7.60123,8.722975,8.351583,7.161891,8.693802,9.613192,8.864252,2.0566,2.13126,1.95894,1.80455,2.18426,2.25326
OLFM3,12.3287,18.0863,12.6029,5.052409,11.23934,10.65923,6.160624,10.64163,10.3233,11.34113,1.7806,2.31178,1.81293,3.43081,1.37191,1.83644
OLFM3,9.01326,11.5538,26.3097,6.279507,12.28626,11.61354,6.437899,11.13257,10.72107,11.58362,1.55366,1.682,1.50479,1.89994,1.76535,1.69279
DNAH14,8.81579,7.78245,5.9516,5.890766,7.092829,5.331541,4.975119,7.448383,8.584707,8.401798,1.81347,1.52857,1.71972,1.64183,1.81633,1.62697
MBTPS2,13.2852,11.1709,13.2911,5.589449,8.033879,9.829874,7.158646,10.15571,8.433503,9.31632,2.14592,2.0393,2.27257,2.74915,2.01856,2.29095
MBLAC2,10.6611,12.9384,7.40601,5.752122,6.727217,7.619633,5.88824,7.127908,6.270271,8.044498,1.55832,1.7122,1.61466,1.7743,1.76055,1.76512
ZFYVE16,10.1544,20.1425,9.1902,7.291473,10.09358,9.284324,7.791476,8.944935,8.591228,8.041983,2.11493,2.29224,2.41038,4.38165,3.56041,2.46588
GGA1,11.5067,32.7168,21.0686,5.620302,5.803278,5.690106,4.696117,6.007951,6.211115,6.613627,2.63834,2.253,2.3432,2.37494,2.27407,2.52038
CDH7,13.8036,9.29407,8.83072,6.762383,9.47007,8.834232,6.876901,8.903913,9.067556,8.783115,1.51688,1.51811,1.582,2.24106,1.90977,1.50064
LINC02363,2.9004,0.185341,5.6015,8.128679,4.491692,5.902383,7.454628,6.073792,6.952743,5.585538,1.60102,1.55929,1.84541,2.16733,1.68802,2.29224
INPP5A,14.8007,13.5512,17.0409,5.625986,5.527676,6.185446,5.367794,5.532342,5.973464,5.355384,1.79732,2.06749,2.02938,2.26583,2.07628,1.74243
PHLDB2,11.6834,7.33835,5.05341,10.0551,7.784406,10.43315,9.476449,4.482428,6.156745,6.954962,1.42795,1.62896,1.60561,1.92845,1.61141,1.68257
